Glimpse of Review,Review
Brilliant,Good picture Quality and Sound in this Budget within 40kREAD MORE
Good choice,GoodREAD MORE
Super!,"Its awesome product from nokia, we have one request to seller that need to avail the direct service centre number for easy access to the company except flipkartREAD MORE"
Very Good,Every time I have to disconnect wifi and reconnect before opening a app. Else it is a very good tvREAD MORE
Mind-blowing purchase,Best productREAD MORE
Highly recommended,Fantastic purchase value for money sound quality is awesomeThank you FlipkartREAD MORE
Pretty good,All rounder with good build quality. I recommend this tv who is looking for big tv with almost all the features in reasonable rateREAD MORE
Just wow!,BestREAD MORE
Did not meet expectations,Not full android tv only limited apps available no Mirra cast no use of TV waste of money Flipkart aslo not supporting customers kindly don't waste time and money hereREAD MORE
Wonderful,GoodREAD MORE
Brilliant,Just Go for it ..... I got it for lowest 34999READ MORE
Just wow!,Ultimate tvREAD MORE
Classy product,Value for money Paisa wasul haiREAD MORE
Worth the money,NiceREAD MORE
Did not meet expectations,Picture quality is pathetic not even 10% of sony or SamsungREAD MORE
Super!,Awesome experience loved it Nokia value for moneyREAD MORE
Terrific,Awesome 👍READ MORE
Fabulous!,Nokia led is very good....I am using almost more the 2 months...Sound quality is also very good....With good delivery service...READ MORE
Perfect product!,"Picture quality is awesome, good sound, TV is super large, great value for money, installation took place on the same date of delivery, just go for it , you won't regret.READ MORE"
Best in the market!,Good productsREAD MORE
Simply awesome,Worth buy at the  offer price on Big Billion sale...READ MORE
Awesome,JBL sound bar is extraordinary. Picture quality awesome. Quite poor in connectivity.READ MORE
Terrific purchase,Awesome 👌READ MORE
Really Nice,"The picture quality is good, which really can be compared to a Sony or a Samsung! Truly recommend this over Mi or some other brands. The JBL sound quality is out of the box and the TV speakers themselves give a home theatre like feeling. Over all a great purchase!READ MORE"
Mind-blowing purchase,Picture quality is awesome and sound by JBL is rocking Only problem is that sometimes apps starts hangingREAD MORE
Must buy!,Amazing quality and perfect built. Awesome Gamming experience with HDR modeREAD MORE
Simply awesome,Value for moneyREAD MORE
Great product,Its a really very good tv at this price. Please don’t select any tv just the sake of their name. This is ultimate tv at this price range. No one tv better than this i guessREAD MORE
Terrific,AmazingREAD MORE
Excellent,Nice Tv Good Sound And Fast DeliveryREAD MORE
Mind-blowing purchase,Recommnded product.. dont think just go for itREAD MORE
Must buy!,The only word! Fantastic!READ MORE
Brilliant,Value of Money. Best alternative of China Product.READ MORE
Terrific,Just go for it.. picture quality is awesome.. smart android tv gives much more options.. playing games using remote is also nice.. sound it is superb duper.. you will not regret about purchase.. now I am looking for Subwoofer which will add bass effect to my hall.. Seller can you add subwoofer compatible with this TV. Then it will be great deal... Ready to bear extra bugs😉READ MORE
Nice product,Nice one and fast deliveryREAD MORE
Worth the money,Nice product. Worth for your moneyREAD MORE
Great product,ExcellentREAD MORE
Just wow!,GoodREAD MORE
Highly recommended,Excellent product.READ MORE
Terrific,Very good product and great value for money but flipkart exchange offers they cheat by reducing the value of exchange giving reasons which are not mentioned earlier  it happens to me and I am not happy about itREAD MORE
Mind-blowing purchase,GoodREAD MORE
Really Nice,Taking extra amount in the name of no cost emiInstallation not done on timeNo proper service Making fool of customer.Installation not done properly.Picture quality is goodSound quality is awesomeConnectivity is goodValue for moneyREAD MORE
Classy product,Good Product.READ MORE
Brilliant,Awesome product in this price range.... And jbl sound is amazing tooREAD MORE
Great product,Awesome 👍 tvREAD MORE
Terrific purchase,Value for money and Best part is sound.I don’t see any issues with connectivity.READ MORE
Excellent,"Picture quality is good but less compared to sony, sound quality bis very good at this price this is the best TV , I suggest to buyREAD MORE"
Value-for-money,Great Product..READ MORE
Perfect product!,Worth buying for this competitive price. Picture quality is good. Display stunning.READ MORE
Highly recommended,very nice product m in love with it must buy value for money sound by JBL really goodREAD MORE
Don't waste your money,Worst TV ever used. Apps hang up all the time. Screen casting is useless. Bluetooth connectivity with speakers is useless. Wouldn't service to buyREAD MORE
Really Nice,GoodREAD MORE
Must buy!,Fabulous sound and good quality of pictureREAD MORE
Just wow!,Very nice Love it. Thank you Flipkart.READ MORE
Best in the market!,"Amazing TV.I was sceptical about buying this, but after watching review videos and the amazing sound quality by JBL, I was more than convinced and bought it as soon as possible. The TV looks stunning and is very light weight. The picture quality is extremely good, the sound quality is simply superb. The android patch wall makes up for the best experience you can have in a TV. Overall best bank for the buck. I would recommend this TV over MI, Oneplus and Realme. In some cases over Samsung and...READ MORE"
Super!,Absolutely a great 4k android tv in budgetREAD MORE
Must buy!,Excellent picture quality and sound system... A very good product to buy under 45000READ MORE
Excellent,Writing after a months viewership.Best in class picture and sound quality.Wifi and Bluetooth connectivity are great.The normal remote should be replaced with smart remote with min no of keys.Bass boost if included will be a added advantage.Delivery and installation was spot on.The TV hangs and restarts once in a while (Android issue might be)Satisfaction with purchase is 4.5/5.READ MORE
Terrific,Great TV bought from Flipkart.READ MORE
Perfect product!,Excellent tvREAD MORE
Terrific,The TV looks quite good. Was bit skeptical before buying but it's worth the money and specially with the offer during BBD it makes it worth buyingREAD MORE
Worst experience ever!,"Tv is very good I will refer this to take.Installation person is very very very bad bad bad bad bad bad bad bad badThe installation person name - Praveen( he is from hyd - Kukatpally) he is the waste waste waste waste waste waste person in my life ever seen him.Person very roud and talk bad words while calling him, waste person. He charged 500 for free installation Ekart is not responding about this issue Please Flipkart just take the right and having good character personREAD MORE"
Mind-blowing purchase,Wi-Fi complaintREAD MORE
Good,"It is good product, back in to Nokia brandREAD MORE"
Very Good,"It has been 3 weeks since I have been using Nokia 55’ tv. I will not say it is perfect but in this price range I can’t think of any better option. But before buying you should know that the television has been manufactured by China based company SKYWORTH, not Nokia.Pros:1.      The 4k UHD content is crystal clear, especially if you properly tweak the display settings of the tv. The Full-HD content is upscaled really well but of course 4k is better.2.      The sound quality of 24-watt JB...READ MORE"
Really Nice,TV is good but after 3 month remote is not workingREAD MORE
Awesome,Such a super product sounds are fabulous...READ MORE
Terrific,GoodREAD MORE
Excellent,SuperbREAD MORE
Terrific purchase,I loved it..READ MORE
Not recommended at all,I rise complaint but didn't give correct reason and short out the problemREAD MORE
Excellent,Awesome product.READ MORE
Classy product,"Fantastic  TV. Sound effect is very good.No need of separation home theatre. Remote is very good with lots of buttons which makes it easy to switch between apps. Looks very good with table mount. Had been using this for more than 4 months, and there is no lag in the initial load time(boot time)As always FlipKart was amazing with 1 day delivery and installation.READ MORE"
Mind-blowing purchase,SuperREAD MORE
Simply awesome,Very good smart TV at this price. I have always loved using Nokia phones. Love the TV too. Delivery and installation all done timelyREAD MORE
Just okay,"I bought this Few days back,Sound is good...Have few errors while connecting with wifi.Have issue with remote which they told will change...READ MORE"
Wonderful,Cromecast is working slow and it get disconnected sometime automatically Rest of the things working well A good dealREAD MORE
Just wow!,Very nice tv  best product  5 ⭐⭐⭐⭐⭐READ MORE
Terrific purchase,Great experience good quality nokiaREAD MORE
Perfect product!,Yesterday installation completed everything is good value for money......only thing is connectivity problem.... Software Update is there after update again I'll give d review of connectivityREAD MORE
Could be way better,It's not as expected from me like picture quality and connectivityREAD MORE
Worth the money,Super ..READ MORE
Brilliant,Great TV in that price range. Nice picture quality and it have all latest features. Don’t expect great bass in thin TV.READ MORE
Really Nice,"I can say this is the best TV in its performance, picture quality, sound and every aspect but I faced problem near connectivity...the company claims that the TV has built in Chrome cast but we have to install third party applications like Google home for casting your screen to your TV..READ MORE"
Classy product,"Excellent, Amazing 😲🤠🤷🏻‍♂️READ MORE"
Just wow!,"Superb led in given price. Picture, sound and quality too good in this price range. I had taken 55 inch in last week of July this year only and so far performance is very good. Even service is also superb as per my personal experience we live in remote location. 15 days before we were facing remote issue as it was not working so I called up customer care and after 2-3 hrs only representative came to home and inspected the remote and he raised the request for remote change which we got in next...READ MORE"
Simply awesome,"Good TV, sound also goodREAD MORE"
Delightful,Picture quality is excellentSound super...READ MORE
Worthless,It have panel issue Connectivity issue So dont buy this tvREAD MORE
Classy product,Very excellent quality product at a very competitive and affordable rate..Thank you FlipkartREAD MORE
Mind-blowing purchase,good and as expectedREAD MORE
Terrific,"I am writing this review after 30 days of my experience.- Picture quality is amazing - Sound is out of this world. This has lead me to cancel by plans of buying a Sony home theatre. Such is the quality of sound.- functions and stock android experience is amazing.- WiFi connectivity issues are there when you start the tv. So the best way is disconnect the WiFi and reconnect it. It works.- backlight bleeding issue exist, but in my piece I have small patches of light bleeding which are har...READ MORE"
Worth every penny,"Tv is just brilliant, prices gone down during big billion days. Just go for it. Its a good buy.READ MORE"
Simply awesome,"All - picture, sound, display are at best that can compete with SONY, SAMSUNG etc. But time taking in connectivity. Also need to look for remote betterment going forward.I hope Nokia would take/ lead the market in coming 2021 with their best product quality.. and i wish that...READ MORE"
Super!,"Perfect product, value for money 😊READ MORE"
Perfect product!,picture and sound quality is better than many leading brands.....go for it.READ MORE
Fabulous!,flipkart open box delivery was excellent . delivered product on time ... worth moneyREAD MORE
Terrific purchase,Best value for money 🔥READ MORE
Good,Super for nowadays for online classesREAD MORE
Fabulous!,Picture quality superb and this TV is really awesome.READ MORE
Brilliant,"Hi all,After so much research i bought this TV.Many people complained about screen bleeding issue but the one delivered to me was perfectly fine. Panel quality is great.Installation and demo by Jeeves is outstanding.JBL sound is good.So many negative reviews that it is not hdmi arc compatible but i personally verified with my soundbar and hdmi arc is working fine.Hdmi 1 port is arc enabled.Along with that i tested for Optical out and it gives dolby digital output.HD channels viewing is gr...READ MORE"
Terrific purchase,"Picture, sound, clarity, image detailing etc are just fantastic. Build quality is very nice. Design of TV is awesome.READ MORE"
Highly recommended,Great product worth it & good service by jeeves!!READ MORE
Must buy!,Genune product and super quality soundREAD MORE
Wonderful,awsome product for its priceREAD MORE
Mind-blowing purchase,"Awesome am impressed , but wondered about after sake service hope Nokia will do well in service also.READ MORE"
Great product,Nokia tv is brilliant awesome beautiful tv jab saund is awesomeREAD MORE
Good quality product,"Tv is amazing and I got it in the BB sales for 35000 rupees which is a steal indeed. Everything is awesome in this TV but only Con is that it doesn't support dual band WiFi. So you can't connect it to your 5G network. That's why I'm giving 4 stars as to watch 4k videos, it will be great if the TV has dual band WiFi supportREAD MORE"
Fabulous!,"Not happy with the product at all so far. It hangs a LOT on first day itself. Tried factory reset as well :( After replacement, newer piece is working like a charmREAD MORE"
Great product,"Grt tv by Nokia. Was worried about buying Nokia tv online. But after installation i must its a grt product. Superb picture quality, superb sound quality from inbuilt jbl speakers. Instant connectivity, google assistance works superbly. It is definitely a value for money. I'm pretty much satisfied with this tv. Thanks to Nokia tv for this product as it is way better than other brands like sony, samsung.READ MORE"
Best in the market!,Awesome guys get it sooonREAD MORE
Awesome,Lovely product i have ordered 2nd TV for my homeREAD MORE
Great product,Awesome..👌Very nice product..👍READ MORE
Worth every penny,Nice prodect and value of money and jbl sound system is great it's compar with sony briva tv...READ MORE
Must buy!,SuperREAD MORE
Worth every penny,Thankyou so much flipkart I'm very satisfiedREAD MORE
Delightful,Worth for the amount. Quick delivery and installation are impressive.READ MORE
Highly recommended,Wifi Connectivity is GoodWith JBL Sound Quality can be better but it too good compare to competitorsPicture quality is top notchARC is missing but Bluetooth connectivity will work good.READ MORE
Worth it!,"Just received the item yesterday and installed the TV and the latest update on it.My review for this TV would be that for this price range, it is really good.The interface and remote make the TV easy to use and the main PRO about the TV would be the sound quality/speakers, which are really amazing.I already have a 55 inch smart TV at home which is the Mi 4A pro but I feel that after using the NOKIA TV, I would definitely advise people to buy the same. The frame rate is also really good ...READ MORE"
Nice product,Excellent pic quality n sound!Value for Money !Must buy...READ MORE
Super!,"Amazing tv, I have always been a fan of nokia, when they launched the tv , I was very curios and checked the reviews, true to their commitment the product had great reviews. Purchased it during the Flipkart sale. The clearity, sound effects, features are too good, trus value for your money.READ MORE"
Worth the money,Value  for mony  sound  effect  is exllent.  not upto the mark picture  quality.READ MORE
Super!,"Sound is awesome, go for it.READ MORE"
good service flipkart,good experienceREAD MORE
Great product,Best Tv ever in budget Sound is mind blowingREAD MORE
Highly recommended,Super product from nokiaREAD MORE
Awesome,Best Tv with in budgetREAD MORE
Good quality product,Good sound qualityREAD MORE
Terrific,Best buy and also good speakerREAD MORE
Best in the market!,An excellent product. I am very happy to own it at an unbelievable price. A big thanks to the flipkart.READ MORE
Super!,Awesome product great service by Flipkart loved it and recommend it for best value for moneyREAD MORE
Classy product,Awesome TV I got this product on big billion day offer. Product seems to be really good. Nice picture quality and great sound by JBL. There seems to be no pixels if you are close to the screen tats really great. I would recommend this product. Within budget good buyREAD MORE
Simply awesome,"I am writing this review after one month use, picture clarity,sound and built quality is very good, back lite issue exits but it shows only when complete black, however I won't feel any issue during video Play.During first 10days I faced some wifi connectivity issues but recently we got an software update and now problem resolved and wifi connectivity is perfect now.Only 2 cons I observed so far.1. No manual operating buttons except power button on tv.2. If we want to change advance au...READ MORE"
Not recommended at all,Screen bleedingREAD MORE
Not recommended at all,Pixels are getting blurred day by day. Such a horrible product and still know no resolution have been provided  neither by the Flipkart nor by the Nokia after lodging the  complain also. Nobody is respondingREAD MORE
Brilliant,ExcellentREAD MORE
Value-for-money,Product is super sound super its jbl only issue is connectivity its little slow sometimes but over all its super color production is awesome if u need 55inch and in reasonable price go for it and more over same day installation from jeeves that is super thanks for @flipkart and @jeevesREAD MORE
Best in the market!,Best tv so farREAD MORE
Just okay,Picture quality in not upto the mark of Nokia looks like cheap screenREAD MORE
Great product,Perfect TVREAD MORE
Fabulous!,Amazing Led from the trusted brandREAD MORE
Very poor,Pros1. JBL SoundCons1. Display Issue (White led bleeding in screen - Nokia hire un-educated staff)2. Wifi Issue (Every time shows connected but the internet not working)3. Remote Issue (Totally dead in just 2 weeks)4. Service Issue5. Close TV automatically.6. Everything is mashed.READ MORE
Wonderful,Veri nice TV📺📺 no one better than Nokia TVREAD MORE
Just wow!,ExcellentREAD MORE
Just wow!,Excellent productREAD MORE
"Amazing display, great sound, best TV in this price range","This is one of the best TV in this price range. It has JBL audio with dolby which sounds great specially when I listen the music. Picture quality is amazing, I tried with 4k and it renders graphics without any glitch.There were couple of minor issue that I've faced which was resolved after upgrading android TV to latest version. One thing I don't like is remote, sometimes it's not very responsive and you need to press a button multiple times to get the things done.READ MORE"
Simply awesome,Very goodREAD MORE
Delightful,Product nice...Sound is good...READ MORE
Terrific,Very good experienceREAD MORE
Fabulous!,AwesomeREAD MORE
Great product,Guys trust me this is one of the best TV i have seen and value for money... Super fast connectivity🙂READ MORE
Must buy!,Nice installationREAD MORE
Just wow!,Best 4K TV in this price range compared to oneplus Q1 this TV is more awesome. Sound By JBL is crystal clear and amazing and you don't need extra home theatre for sound. So many people have faced screen issue but I don't think this happens with everyone. Just go for it.READ MORE
Really Nice,"The product ia really amazing and worth the amount it is priced at, the only issue that arises often is of internet connectivity. Generally, it performs perfectly on wifi but you don't get the claimed speed without LAN connectivity. Moreover, you need to refresh the WLAN option frequently. So incase you're planning to wall mount the unit, please arrange an extra length of LAN cable.READ MORE"
Fair,everything is good but there is screen bleeding issueREAD MORE
Really Nice,Very niceREAD MORE
Waste of money!,Worst... After sale don't care your company or flipkart as well. There is no contact details to report any problems. Only computerized answering numbers it totally fu** all numbers of nokia and flipkart too.READ MORE
Not good,Slow strart n connectivity issuesREAD MORE
Super!,Good Purchase overall. Initially there was a video stuttering issue while using the remote when a video was playing and wifi connectivity issue but it resolved with the update. Otherwise Sound and Video quality is quite good at this price. The looks are also quite elegant.READ MORE
Classy product,Value for moneyREAD MORE
Wonderful,Super awasomeREAD MORE
Excellent,Super sound and a pleasant viewing experienceREAD MORE
Perfect product!,I have reviewed ofter using 30 days. Tv is really worth for evey rupee. Sound was too good powerd by Jbl.READ MORE
"Classy product ,Good","very good TV, Everything fine. Go for it.READ MORE"
Wonderful,The product does well for a budget TV.Good picture and sound quality.Go for it. You won't be disappointed.Posting this review after 2 months of usage... Happily viewing!READ MORE
Not good,No thanksREAD MORE
better,goodREAD MORE
